ppt,group,attitude,trustworthiness,credibility,evaluation
31,affected,5.428571428571429,3.928571428571429,3.5714285714285716,3.5
32,not_affected,5.642857142857143,4.5,4.428571428571429,2.1666666666666665
33,affected,4.928571428571429,4.571428571428571,5,2.0833333333333335
34,affected,4.785714285714286,4,3.5714285714285716,3
35,not_affected,5.071428571428571,5,4.428571428571429,2.4166666666666665
36,affected,1.9285714285714288,4.571428571428571,1,4.916666666666667
37,not_affected,3.2857142857142856,4.214285714285714,3.857142857142857,3.4166666666666665
38,affected,4,4.285714285714286,3.857142857142857,2.75
39,affected,6,4.714285714285714,5.285714285714286,1.6666666666666667
40,not_affected,5.357142857142857,2.142857142857143,1.2857142857142858,4.333333333333333
41,affected,5.357142857142857,5.5,4.571428571428571,2.25
42,affected,5.5,4.142857142857143,3.857142857142857,3.5
43,not_affected,2.4285714285714284,5,4.571428571428571,3.1666666666666665
44,not_affected,3.2857142857142856,2.7857142857142856,2.142857142857143,4.333333333333333
45,affected,2.642857142857143,4.714285714285714,3.4285714285714284,3.25
46,not_affected,5.285714285714286,4.571428571428571,3.5714285714285716,3.25
47,affected,5,5.071428571428571,4.428571428571429,2.5
48,not_affected,6,4,3.5714285714285716,2.8333333333333335
49,not_affected,3.5,4.642857142857143,4.285714285714286,2.5833333333333335
50,not_affected,4.785714285714286,4.5,4.428571428571429,2.1666666666666665
51,affected,3.5714285714285716,4.071428571428571,3.4285714285714284,3.3333333333333335
52,not_affected,4.714285714285714,5.285714285714286,4.857142857142857,3.25
53,affected,5.928571428571429,5.642857142857143,5.428571428571429,2.0833333333333335
54,affected,5.428571428571429,4.142857142857143,3.857142857142857,3
55,affected,4.142857142857143,5.428571428571429,4.142857142857143,2.0833333333333335
56,not_affected,3.4285714285714284,2.0714285714285716,1,2.4166666666666665
57,not_affected,6,4.285714285714286,3.4285714285714284,2.9166666666666665
58,affected,5.785714285714286,5.142857142857143,4.142857142857143,3
59,not_affected,1.6428571428571428,4.5,3.5714285714285716,3.9166666666666665
60,affected,5,5.071428571428571,4.142857142857143,3.0833333333333335
61,affected,5.285714285714286,5.642857142857143,5.428571428571429,1.1666666666666667
62,affected,4.071428571428571,4.928571428571429,3.857142857142857,3.5
63,not_affected,5.857142857142857,3.5714285714285716,2.5714285714285716,4.5
64,not_affected,3.928571428571429,4.428571428571429,4.571428571428571,2.5833333333333335
65,not_affected,5.428571428571429,3.357142857142857,1.5714285714285714,3.8333333333333335
66,not_affected,5.071428571428571,5.142857142857143,5,2.0833333333333335
67,affected,4.214285714285714,4.714285714285714,4.571428571428571,2.75
68,not_affected,3.857142857142857,5.071428571428571,4.428571428571429,2.1666666666666665
69,not_affected,5,5.214285714285714,5.428571428571429,1.0833333333333333
70,affected,5.214285714285714,4,3.7142857142857144,3.5
71,affected,3.7142857142857144,3.928571428571429,3,2.25
72,not_affected,5.571428571428571,6,5.142857142857143,2.6666666666666665
73,affected,5.285714285714286,5.5,4.571428571428571,3.1666666666666665
74,not_affected,5.428571428571429,4.142857142857143,4.571428571428571,2.1666666666666665
75,affected,5.5,5.285714285714286,5,1.8333333333333333
76,affected,5.5,4.857142857142857,4.571428571428571,2.3333333333333335
77,not_affected,5.714285714285714,3.928571428571429,4.571428571428571,2.8333333333333335
78,not_affected,2.7857142857142856,4.928571428571429,4,2.9166666666666665
79,affected,5.571428571428571,4.285714285714286,3.857142857142857,1.5833333333333333
80,not_affected,2.857142857142857,3.4285714285714284,2.142857142857143,4.166666666666667
81,affected,5.785714285714286,5.285714285714286,4.142857142857143,2.25
82,affected,1.7142857142857142,4.642857142857143,3.7142857142857144,3.75
83,not_affected,2.642857142857143,2.7857142857142856,1.2857142857142858,2.5833333333333335
84,affected,4.5,4.785714285714286,3.2857142857142856,2.75
85,not_affected,3.642857142857143,4.857142857142857,3.857142857142857,2.9166666666666665
86,not_affected,2.642857142857143,4,3.4285714285714284,3.9166666666666665
87,not_affected,3.642857142857143,5.214285714285714,4.714285714285714,2.5
88,affected,5.5,5.357142857142857,5.428571428571429,2.4166666666666665
89,affected,4.071428571428571,4.571428571428571,3.5714285714285716,2.9166666666666665
