comfort,mental_health_pre,mental_health_since,wellbeing_since,gender,age,partner,species,loneliness_pre,loneliness_since
48,17,16,21,female,25_34,living_partner,small,7,9
47,17,20,22,female,55_64,not_living_partner,dog,5,6
39,18,17,14,female,25_34,living_partner,dog,5,5
48,19,19,16,male,55_64,living_partner,dog,3,3
47,18,20,17,female,35_44,not_living_partner,dog,3,3
48,24,23,20,female,35_44,not_living_partner,dog,3,3
41,23,23,19,female,35_44,not_living_partner,dog,4,4
38,20,20,20,pref_not_say,45_54,living_partner,cat,6,6
48,21,21,19,female,45_54,living_partner,dog,3,5
48,21,23,17,female,65_70,not_living_partner,dog,3,3
48,21,20,20,female,25_34,living_partner,dog,5,4
48,20,15,27,female,35_44,living_partner,dog,3,8
48,21,17,14,female,25_34,living_partner,dog,6,3
48,21,21,24,female,45_54,not_living_partner,cat,6,6
48,15,15,25,female,45_54,living_partner,dog,8,7
48,21,17,31,female,70_over,not_living_partner,dog,6,9
12,20,21,14,female,55_64,living_partner,dog,3,3
48,21,21,17,female,65_70,living_partner,dog,3,4
36,20,19,22,female,18_24,not_living_partner,dog,3,9
15,21,21,18,female,55_64,not_living_partner,dog,5,6
38,23,21,26,female,45_54,living_partner,cat,8,8
48,20,20,9,female,55_64,not_living_partner,dog,3,3
37,20,23,21,female,65_70,living_partner,horse,3,3
43,22,22,16,female,55_64,living_partner,dog,3,3
48,20,19,22,female,65_70,not_living_partner,dog,5,8
48,22,24,16,female,25_34,not_living_partner,dog,3,5
45,20,21,17,female,45_54,living_partner,dog,5,4
48,21,20,16,female,35_44,living_partner,dog,6,3
48,21,21,15,female,45_54,not_living_partner,dog,3,3
46,17,19,20,female,18_24,living_partner,dog,5,7
47,23,21,19,female,65_70,not_living_partner,dog,9,9
48,19,19,7,female,35_44,living_partner,dog,3,3
43,17,18,16,male,70_over,living_partner,dog,5,4
48,13,15,24,female,55_64,not_living_partner,dog,8,8
47,20,20,18,female,45_54,living_partner,dog,4,5
43,18,20,24,female,55_64,not_living_partner,dog,9,9
47,20,20,22,female,35_44,living_partner,dog,3,3
44,20,19,13,male,55_64,living_partner,dog,3,5
46,21,19,24,another,25_34,living_partner,cat,9,9
48,21,20,16,female,55_64,living_partner,cat,3,4
48,22,18,17,female,55_64,living_partner,dog,3,4
47,18,20,23,female,25_34,living_partner,dog,4,4
47,21,18,16,female,35_44,living_partner,dog,3,5
45,21,20,16,female,45_54,living_partner,cat,5,4
48,22,22,9,female,70_over,living_partner,cat,5,4
47,21,21,17,female,25_34,living_partner,dog,4,4
44,23,21,23,female,35_44,not_living_partner,dog,4,8
48,19,21,21,male,35_44,not_living_partner,dog,5,9
46,20,21,18,female,45_54,not_living_partner,dog,7,6
45,22,21,26,female,55_64,living_partner,cat,6,4
48,20,22,25,female,45_54,living_partner,dog,9,9
48,19,17,15,female,45_54,living_partner,dog,3,3
29,22,21,20,female,45_54,not_living_partner,cat,4,4
47,20,18,24,female,45_54,not_living_partner,dog,5,8
48,24,23,17,female,55_64,not_living_partner,dog,4,5
48,23,18,21,female,18_24,not_living_partner,dog,3,7
41,16,18,18,female,45_54,living_partner,dog,4,5
48,21,21,18,male,18_24,not_living_partner,cat,3,6
48,18,19,12,female,55_64,not_living_partner,dog,6,7
48,18,19,19,female,45_54,living_partner,dog,5,7
40,21,22,20,female,35_44,not_living_partner,dog,4,6
44,25,22,17,female,25_34,not_living_partner,dog,3,5
48,21,22,20,female,45_54,living_partner,dog,3,6
44,22,25,21,female,55_64,living_partner,dog,3,4
43,21,20,10,female,35_44,not_living_partner,dog,6,6
44,21,21,18,female,45_54,living_partner,dog,3,3
35,23,20,17,female,55_64,not_living_partner,dog,6,6
48,20,20,13,male,65_70,not_living_partner,dog,5,5
48,18,19,27,female,25_34,not_living_partner,dog,8,8
