age,gender,sportype,perabil,cheating,gamesman,commit,conven,task,ego
14.36,0,1,39,12,21,20,19,27,20
15.22,1,1,45,6,24,24,22,35,26
15.33,0,1,36,6,11,23,24,35,21
14.75,1,1,37,12,23,20,16,28,27
13.81,1,1,48,14,32,25,25,35,29
12.23,1,1,30,6,11,25,21,31,26
13.08,1,1,31,9,23,23,17,26,26
15.34,0,1,42,6,21,21,19,29,21
15.92,0,0,40,6,7,23,19,33,17
14,1,1,41,14,30,24,19,34,24
14.13,0,1,40,6,10,23,23,30,19
13.21,0,0,42,6,12,23,21,30,27
14.58,1,1,46,10,30,24,24,32,24
15.35,0,1,41,10,12,25,25,30,17
14.47,0,0,31,12,14,16,16,25,12
12.19,0,0,42,15,21,22,19,25,26
13.36,1,1,44,12,18,24,22,32,26
12.76,1,1,36,18,17,18,16,28,21
14.55,1,1,39,7,12,22,21,32,24
14.4,1,1,37,16,29,18,20,23,18
14.13,1,1,36,7,15,24,23,28,18
13.4,0,1,40,15,17,16,19,23,14
14.24,0,0,36,11,13,19,20,28,21
12.6,1,1,43,6,8,25,25,35,22
14.01,1,1,37,12,16,21,20,31,26
14.59,1,1,33,15,22,19,16,32,26
13,1,1,47,10,15,21,23,30,30
15.63,0,1,45,7,17,24,24,30,24
14.9,1,1,36,13,19,21,13,31,22
13.17,1,1,44,9,33,24,21,35,24
12.2,1,1,39,10,16,23,21,30,19
13.24,0,0,46,7,12,23,19,33,32
12.4,0,1,43,13,19,22,24,30,17
14.81,0,1,36,6,15,20,24,26,15
14.35,0,0,32,8,10,23,25,34,30
14.31,1,0,37,7,10,21,16,33,27
12.72,0,0,40,8,23,23,23,32,34
15.34,0,0,42,6,15,23,18,31,21
13.47,1,0,28,8,12,18,17,25,21
14.83,1,1,30,13,16,19,20,31,16
14.35,1,0,31,6,13,22,21,32,22
14.74,1,1,29,12,21,21,17,25,24
14.87,0,1,25,11,24,22,18,29,20
15.07,0,0,28,17,17,22,15,29,26
14.66,1,1,41,8,22,20,19,33,28
14.19,1,1,38,12,23,21,5,28,22
14.98,0,0,34,10,17,18,19,31,24
12.29,1,1,30,11,19,24,21,32,24
12.12,1,1,43,13,29,21,25,35,31
13.22,1,0,44,10,16,25,24,32,23
13.18,0,1,38,13,16,21,19,26,17
13,1,1,40,9,17,18,16,30,27
12.23,0,1,31,9,21,15,19,30,33
15.78,0,0,44,7,20,24,10,35,33
13.1,0,1,43,6,12,24,23,34,25
14.33,1,1,39,7,25,19,18,31,30
14.01,1,1,39,20,26,21,21,26,24
12.45,1,1,43,6,23,23,22,35,35
14.83,0,1,33,9,23,21,22,31,24
13.65,0,0,38,15,18,18,18,30,22
15.7,0,0,36,12,22,19,19,27,25
14.63,1,1,39,6,28,23,23,35,24
13.72,0,0,39,6,21,24,20,33,23
12.02,0,0,31,12,13,18,17,24,20
15.56,1,1,42,8,16,17,19,28,22
14.23,1,1,34,14,20,17,17,24,18
13.98,0,0,30,8,11,19,18,32,24
12.2,1,0,38,7,15,22,20,32,21
14.43,1,1,38,9,22,22,20,29,20
14.05,0,1,39,18,21,21,19,32,21
12.02,1,1,41,8,14,22,22,32,17
12.81,0,0,37,15,24,18,19,30,15
12.85,1,1,38,6,11,24,24,34,15
14.22,1,1,41,11,14,20,21,28,21
14.59,1,0,45,14,30,22,19,27,25
12.78,1,1,43,16,21,22,22,28,22
13.78,1,1,41,14,24,25,22,29,24
13.79,0,0,27,10,17,17,17,27,25
14.6,1,1,42,11,24,23,25,32,27
13.85,0,0,35,8,13,23,17,33,28
14.87,1,1,38,14,20,21,15,32,14
14.78,1,1,36,19,21,19,18,20,22
13.11,1,1,32,9,15,16,20,27,18
13.35,0,1,41,12,14,24,22,28,24
13.08,1,1,32,6,19,23,20,30,21
14.11,1,1,41,7,20,24,17,35,25
12.76,0,0,23,6,15,17,16,28,23
13.29,1,1,39,6,14,20,18,28,21
15.08,0,1,38,11,18,24,23,32,24
13.83,0,1,39,7,23,23,24,35,22
14.76,1,1,40,6,9,22,24,34,20
12.01,1,0,26,7,9,19,14,23,13
14.59,0,1,27,26,29,17,16,33,33
14.99,0,1,36,13,21,14,16,21,20
14.99,0,1,39,7,20,22,22,31,23
14.33,1,1,39,14,21,20,19,26,16
14.94,1,1,43,8,13,22,24,32,30
14.19,0,1,26,12,15,18,12,22,16
14.76,1,1,39,7,20,21,20,29,17
15.11,0,0,37,8,11,24,20,30,22
14.94,0,0,46,6,19,23,24,31,22
14,1,1,37,19,23,20,19,25,27
12.26,1,1,35,6,12,25,25,35,25
15.32,0,1,42,7,20,19,21,35,27
12.74,1,1,34,17,22,22,19,26,21
12.09,1,1,38,20,19,19,16,25,22
12.98,1,1,39,8,24,21,17,26,29
13.73,1,1,49,12,16,24,22,35,29
