age,perabil,cheating,gamesman,commit,conven,task,ego
13.23,43,6,15,22,24,26,18
13.11,45,6,11,25,25,35,28
13.08,36,12,18,23,22,33,16
14.42,41,16,18,20,20,30,25
13.08,31,9,23,23,17,26,26
12.04,49,6,8,24,23,33,34
15.22,45,6,24,24,22,35,26
15.02,32,19,27,25,24,35,28
14.93,37,6,17,18,11,31,24
15.66,28,10,16,20,19,27,16
15.43,36,12,16,19,19,24,15
13.33,25,6,27,25,19,32,17
13.73,31,7,11,16,25,25,14
13.57,36,12,23,21,19,30,21
13.57,35,14,17,20,16,27,24
13.24,39,9,15,22,17,29,23
13.29,39,6,14,20,18,28,21
13.78,36,18,20,21,22,30,23
13.56,42,18,28,22,20,31,32
13.73,49,12,16,24,22,35,29
13.22,44,10,16,25,24,32,23
13.65,30,9,12,22,23,33,16
14.83,30,13,16,19,20,31,16
15.66,41,6,17,23,20,29,17
14.04,36,6,12,22,22,31,14
14.17,31,12,15,18,12,27,22
14.37,45,14,27,20,18,29,21
14.08,42,8,17,24,22,33,22
14.19,38,12,23,21,5,28,22
14.81,43,6,13,25,25,35,18
14.75,31,8,12,21,21,32,27
14.13,40,6,10,23,23,30,19
13.91,38,16,27,23,21,34,22
13.92,39,6,20,23,21,31,27
14.81,30,14,24,20,18,32,20
14.13,36,7,15,24,23,28,18
14.68,42,6,17,23,20,32,23
14.4,42,6,29,23,5,33,29
13.95,36,13,22,18,20,25,17
14.13,44,8,19,24,22,35,27
14.23,35,9,17,22,21,34,19
13.85,41,6,9,23,24,32,18
14.18,49,6,8,24,25,35,32
14.37,44,13,20,20,16,29,28
14.69,49,10,18,25,24,35,33
14.19,24,10,21,11,16,18,15
13.87,36,6,19,25,24,33,23
14.47,31,12,14,16,16,25,12
14.5,46,7,18,20,21,34,26
14.78,36,19,21,19,18,20,22
15.68,41,11,14,20,20,26,16
13.84,29,6,7,21,24,34,13
13.85,43,14,20,22,21,29,26
14.77,35,10,23,21,14,27,17
15.24,42,9,26,19,25,30,29
15.62,34,12,27,20,18,27,24
15.81,42,6,17,25,23,34,25
15.67,42,6,16,21,22,32,24
14.9,36,13,19,21,13,31,22
15.62,41,7,14,23,24,32,21
15.78,32,12,28,19,19,27,21
14.08,40,13,19,25,18,30,17
14.01,37,13,21,22,18,32,23
14.68,46,6,13,25,24,35,27
14.01,45,7,13,17,24,25,26
12.51,37,19,24,19,14,27,24
12.27,37,6,7,24,24,30,17
12.78,43,16,21,22,22,28,22
12.72,40,8,23,23,23,32,34
12.29,30,11,19,24,21,32,24
12.02,41,8,14,22,22,32,17
12.55,44,7,19,23,18,29,31
13.03,40,8,13,23,19,31,19
13.01,45,6,29,21,22,32,28
12.84,29,18,18,17,19,22,21
13.58,34,12,34,20,19,25,30
13.53,40,6,13,23,21,35,21
12.84,42,6,8,23,21,35,10
13.37,41,6,20,24,24,35,31
13.3,34,10,19,18,19,25,16
12.85,47,6,14,19,16,29,30
13.3,39,6,18,24,25,33,19
13.54,45,8,20,22,21,33,33
13.24,46,7,12,23,19,33,32
14.19,43,9,15,16,22,25,26
14.03,45,6,21,22,24,28,25
14.08,36,6,11,19,16,27,16
14.74,30,6,13,17,23,24,13
14.2,43,6,21,24,20,34,20
14.59,42,6,20,24,22,34,23
13.96,35,8,16,21,21,30,28
13.55,47,15,26,25,25,34,32
13.75,43,8,11,21,23,30,25
13.01,37,14,20,21,18,33,21
13.51,31,11,22,19,14,29,12
13.39,46,9,15,22,22,31,23
13.09,47,7,12,23,23,33,21
13.23,40,6,13,21,23,27,13
12.21,44,19,23,20,17,21,27
12.64,45,6,12,24,23,34,29
12.44,41,7,14,18,19,29,27
12.1,44,10,18,23,23,34,28
12.25,39,15,30,22,16,30,20
12.08,38,10,14,24,16,32,22
