age,gender,concern,exaggerate,behaviour,urgency,responsibility,pay,hedonism,nuclear
55,1,2,3,2,3,2,2,2,4
20,0,1,5,2,2,2,4,2,2
49,1,2,4,3,3,2,4,3,4
16,0,2,4,2,4,2,4,4,2
55,1,1,3,1,2,1,3,5,5
38,0,1,5,1,2,2,3,3,4
53,0,3,2,1,2,2,4,1,4
71,1,1,5,1,2,2,2,1,2
28,1,4,1,2,4,4,2,3,5
22,1,1,2,2,5,2,5,4,2
78,1,4,1,3,5,5,2,3,5
23,1,1,5,2,1,2,3,3,5
80,1,3,2,5,5,5,4,2,4
30,1,2,2,3,4,2,4,4,5
51,1,1,5,4,4,5,2,3,5
28,0,3,1,1,3,1,4,2,2
40,0,3,3,2,3,3,5,3,3
60,1,2,4,2,2,2,2,2,5
83,1,2,3,3,2,2,2,3,2
44,0,2,4,2,3,2,4,2,4
28,0,1,4,2,3,2,3,3,5
70,1,1,5,2,2,2,2,1,1
67,1,1,4,2,2,2,2,3,5
41,0,1,5,1,2,1,2,2,2
32,1,1,4,2,3,2,2,4,5
0,0,2,2,2,4,3,2,3,5
27,0,2,2,2,2,2,4,3,2
74,0,2,4,2,2,2,4,2,4
41,1,1,4,1,2,1,5,1,5
79,1,2,3,2,5,2,3,2,1
56,0,1,3,4,3,1,4,1,5
59,0,1,4,1,2,1,3,3,2
29,1,2,2,2,4,2,4,3,4
63,1,2,2,4,2,2,4,3,1
39,0,2,2,2,4,4,5,1,5
58,1,1,4,2,2,1,1,2,4
49,1,1,2,1,2,1,5,3,1
40,0,2,4,1,2,2,2,2,3
34,1,2,4,1,3,1,4,3,4
67,0,4,4,1,1,1,2,2,3
18,1,2,3,2,3,2,2,4,2
46,1,1,5,1,1,1,5,2,2
76,0,1,1,4,4,4,4,2,4
87,1,1,4,2,2,2,2,4,2
19,0,1,4,2,3,2,2,3,4
75,1,2,1,4,2,3,4,1,2
40,0,2,4,2,3,2,4,2,2
19,1,3,1,2,4,2,2,2,5
57,0,2,3,2,2,5,2,4,2
43,1,1,5,2,4,2,1,1,5
69,0,3,2,4,3,3,5,3,3
30,0,2,2,4,2,2,3,2,4
44,1,2,4,2,2,2,4,3,2
21,0,4,2,2,4,2,1,2,2
17,0,2,2,3,2,5,2,3,2
70,1,1,5,1,1,1,5,3,3
54,0,2,2,2,2,2,4,2,4
53,1,1,3,3,3,3,2,3,5
54,0,2,3,5,5,5,4,2,1
60,0,2,4,2,2,2,2,1,3
42,0,2,3,2,4,2,4,2,4
62,0,3,2,2,5,4,4,2,5
87,1,2,4,4,4,2,2,1,2
79,0,3,2,3,4,3,2,2,1
48,1,3,4,5,2,2,5,1,4
43,0,2,3,2,2,1,2,3,5
73,1,4,1,5,5,5,5,3,2
60,1,2,2,1,1,1,1,2,2
26,0,3,4,2,3,2,4,3,2
48,0,1,4,1,3,1,3,2,4
52,0,2,5,4,4,2,2,3,5
66,1,2,3,2,4,4,3,5,3
39,0,2,3,2,2,2,2,2,2
54,1,2,4,3,3,3,4,3,2
39,0,2,4,4,4,3,3,2,4
24,1,3,5,5,5,1,1,5,5
